application_id,scorecard_version,decision,bureau_score,product,channel,segment
4a19bd43-fb86-4ad9-82d6-07ed27720989,existing,approved,560,standard,branch,retail
1d5905b3-7ec4-45c6-8e3d-eaa825245500,pilot,declined,653,standard,online,retail
97bf3634-bc4d-43c3-8424-6c4e0d79f403,pilot,approved,582,gold,online,retail
7c086986-b243-4d9f-ba27-65ae237e5a5d,existing,approved,454,standard,online,retail
57d2814e-b435-4140-8fa3-6a646ca16b31,existing,declined,328,gold,branch,retail
3953f916-0fde-48d3-a626-bb5fee19ae2a,pilot,declined,820,platinum,online,retail
c89866c2-1462-4539-9c8b-ac7d6ca62114,existing,declined,492,standard,online,retail
0133a047-fca8-4ec6-9f94-58dad827829f,existing,approved,503,standard,online,retail
4b9bc0a3-f5b3-4a61-958b-a22149bb570c,pilot,approved,610,standard,branch,student
59715235-f75b-4535-bf7a-ab85d9cdecad,pilot,declined,783,platinum,online,retail
ea94c079-9ba7-4728-b29d-a470b0efbe9b,existing,approved,334,standard,online,retail
afaaa9a5-8ce6-45f6-8826-d7071620c558,existing,approved,624,standard,online,student
31ce5695-d42f-44e1-ae0b-5e76491b64a4,pilot,approved,681,standard,online,student
bae3af0a-a93a-48bd-b2e4-0ae99ee64b83,existing,approved,538,gold,online,retail
69861014-d115-43ac-90e3-d118156f5483,pilot,approved,579,standard,online,retail
d7045d6b-8a55-4856-b280-fe3be488cd8e,pilot,approved,580,gold,online,student
44833660-ea30-4566-b249-2c678fe7bcdf,pilot,declined,699,gold,branch,retail
921bdc98-c867-4fcb-82e6-16a0654425fa,pilot,declined,560,standard,online,retail
e0f24082-eab4-4e5c-b4a5-07a158c38118,existing,declined,582,standard,online,retail
0681a4f6-9e83-48b3-969b-67cdd894f16a,existing,approved,637,gold,online,retail
81dc327e-7c8e-4ed7-a9a3-d7c8924a8c0a,pilot,approved,388,standard,online,student
1f7401b8-e5f4-42e6-a67d-487bc9d69366,pilot,approved,793,platinum,branch,retail
d4a8deec-d5d6-424c-bddc-07438795f91a,existing,declined,334,standard,branch,student
fce8a9ec-468a-4508-9039-9cd2a2d256a2,existing,approved,611,platinum,online,retail
73b815d5-0749-43b7-8b6f-795b74ff2395,pilot,approved,645,gold,branch,student
e686446c-2e14-420e-a39d-c08d3d022a68,existing,approved,627,platinum,online,retail
d588dba7-6576-498a-bd67-291e921dafe8,pilot,declined,520,standard,branch,retail
dfc3516c-2a7a-42b0-901b-8906128adcc1,existing,approved,303,standard,online,retail
157dd92d-0f16-456e-a384-64d951e46d35,pilot,approved,626,standard,online,retail
14588d0c-2d9c-4579-92ab-fdb48a6ab3b2,pilot,approved,365,standard,branch,retail
e6278375-5f48-4d6b-978b-bbf4357afd83,existing,declined,348,standard,online,retail
0ae14059-d047-4401-aed6-04d5e1a49512,pilot,approved,356,gold,online,retail
98393f73-0314-43ff-ab92-52e600a1e000,pilot,declined,823,standard,online,retail
fe27eb35-d17b-4571-8cf8-b7cdf8680419,existing,approved,567,standard,online,retail
c1841687-1b2c-479c-8fe4-718d8998f656,pilot,approved,638,gold,online,retail
cb73b031-9cd4-4a1f-b622-1dc3dd83ce9c,pilot,approved,331,gold,branch,retail
0c4d35fc-f2e3-4ec5-a0c6-6f421c1f7442,existing,approved,351,standard,branch,retail
d924147d-d18e-490a-9fca-d1aeb0c6c75c,existing,approved,472,standard,online,retail
9f19c23e-88ef-4c0e-8518-d950c88d7c62,pilot,declined,513,standard,online,student
5a9b6b41-4eaa-4b2c-ae25-969cf3160497,existing,declined,425,gold,branch,student
53860755-e5b6-40e4-a11c-4d0d9dccb5d5,pilot,approved,409,standard,online,retail
bf55a0c7-39bb-4708-a0a4-ff3c54189138,existing,declined,651,standard,online,student
e52bd09c-d9cc-4d59-96fa-d6ef1b00cd93,pilot,declined,416,standard,branch,student
5e7de543-505e-4c0b-90c7-7a5cad94ba82,existing,approved,744,platinum,online,retail
bfdafa8a-0d71-46cb-9c58-5a33f3c4f948,pilot,approved,840,standard,branch,retail
39da2ac5-bdea-40a3-bcc8-f06bfefe3ee0,existing,approved,647,gold,online,student
2bc9b8a5-c89a-4f6a-9383-955e37859032,pilot,approved,530,gold,branch,retail
15438a8e-ad5c-4627-97c5-91349aebed4c,existing,approved,752,standard,branch,retail
f75948c3-5c11-4b5a-9c04-e032d9e3a74d,pilot,approved,484,standard,online,retail
b3bab758-5d37-44a7-aa3d-76da3363ed46,existing,approved,449,platinum,online,student
